t,1 [5.00000e+00; 0.00000e+00; 2.00000e+00],2 [5.00000e+00; 0.00000e+00; 5.00000e+00],3 [5.00000e+00; 0.00000e+00; 8.00000e+00],4 [5.00000e+00; 0.00000e+00; -2.00000e+00],5 [5.00000e+00; 0.00000e+00; -5.00000e+00],6 [5.00000e+00; 0.00000e+00; -8.00000e+00],7 [5.00000e+00; 2.00000e+00; 0.00000e+00],8 [5.00000e+00; 5.00000e+00; 0.00000e+00],9 [5.00000e+00; 8.00000e+00; 0.00000e+00],10 [5.00000e+00; -2.00000e+00; 0.00000e+00],11 [5.00000e+00; -5.00000e+00; 0.00000e+00],12 [5.00000e+00; -8.00000e+00; 0.00000e+00],13 [3.00000e+01; 0.00000e+00; 2.00000e+00],14 [3.00000e+01; 0.00000e+00; 5.00000e+00],15 [3.00000e+01; 0.00000e+00; 8.00000e+00],16 [3.00000e+01; 0.00000e+00; -2.00000e+00],17 [3.00000e+01; 0.00000e+00; -5.00000e+00],18 [3.00000e+01; 0.00000e+00; -8.00000e+00],19 [3.00000e+01; 2.00000e+00; 0.00000e+00],20 [3.00000e+01; 5.00000e+00; 0.00000e+00],21 [3.00000e+01; 8.00000e+00; 0.00000e+00],22 [3.00000e+01; -2.00000e+00; 0.00000e+00],23 [3.00000e+01; -5.00000e+00; 0.00000e+00],24 [3.00000e+01; -8.00000e+00; 0.00000e+00],25 [6.00000e+01; 0.00000e+00; 2.00000e+00],26 [6.00000e+01; 0.00000e+00; 5.00000e+00],27 [6.00000e+01; 0.00000e+00; 8.00000e+00],28 [6.00000e+01; 0.00000e+00; -2.00000e+00],29 [6.00000e+01; 0.00000e+00; -5.00000e+00],30 [6.00000e+01; 0.00000e+00; -8.00000e+00],31 [6.00000e+01; 2.00000e+00; 0.00000e+00],32 [6.00000e+01; 5.00000e+00; 0.00000e+00],33 [6.00000e+01; 8.00000e+00; 0.00000e+00],34 [6.00000e+01; -2.00000e+00; 0.00000e+00],35 [6.00000e+01; -5.00000e+00; 0.00000e+00],36 [6.00000e+01; -8.00000e+00; 0.00000e+00],37 [9.50000e+01; 0.00000e+00; 2.00000e+00],38 [9.50000e+01; 0.00000e+00; 5.00000e+00],39 [9.50000e+01; 0.00000e+00; 8.00000e+00],40 [9.50000e+01; 0.00000e+00; -2.00000e+00],41 [9.50000e+01; 0.00000e+00; -5.00000e+00],42 [9.50000e+01; 0.00000e+00; -8.00000e+00],43 [9.50000e+01; 2.00000e+00; 0.00000e+00],44 [9.50000e+01; 5.00000e+00; 0.00000e+00],45 [9.50000e+01; 8.00000e+00; 0.00000e+00],46 [9.50000e+01; -2.00000e+00; 0.00000e+00],47 [9.50000e+01; -5.00000e+00; 0.00000e+00],48 [9.50000e+01; -8.00000e+00; 0.00000e+00],49 [4.90000e+01; 0.00000e+00; 1.00000e+00],50 [4.90000e+01; 0.00000e+00; 3.00000e+00],51 [4.90000e+01; 0.00000e+00; 5.00000e+00],52 [4.90000e+01; 0.00000e+00; 7.00000e+00],53 [4.90000e+01; 0.00000e+00; -1.00000e+00],54 [4.90000e+01; 0.00000e+00; -3.00000e+00],55 [4.90000e+01; 0.00000e+00; -5.00000e+00],56 [4.90000e+01; 0.00000e+00; -7.00000e+00],57 [4.90000e+01; 1.00000e+00; 0.00000e+00],58 [4.90000e+01; 3.00000e+00; 0.00000e+00],59 [4.90000e+01; 5.00000e+00; 0.00000e+00],60 [4.90000e+01; 7.00000e+00; 0.00000e+00],61 [4.90000e+01; -1.00000e+00; 0.00000e+00],62 [4.90000e+01; -3.00000e+00; 0.00000e+00],63 [4.90000e+01; -5.00000e+00; 0.00000e+00],64 [4.90000e+01; -7.00000e+00; 0.00000e+00],65 [5.00500e+01; 0.00000e+00; 1.00000e+00],66 [5.00500e+01; 0.00000e+00; 3.00000e+00],67 [5.00500e+01; 0.00000e+00; 5.00000e+00],68 [5.00500e+01; 0.00000e+00; 7.00000e+00],69 [5.00500e+01; 0.00000e+00; -1.00000e+00],70 [5.00500e+01; 0.00000e+00; -3.00000e+00],71 [5.00500e+01; 0.00000e+00; -5.00000e+00],72 [5.00500e+01; 0.00000e+00; -7.00000e+00],73 [5.00500e+01; 1.00000e+00; 0.00000e+00],74 [5.00500e+01; 3.00000e+00; 0.00000e+00],75 [5.00500e+01; 5.00000e+00; 0.00000e+00],76 [5.00500e+01; 7.00000e+00; 0.00000e+00],77 [5.00500e+01; -1.00000e+00; 0.00000e+00],78 [5.00500e+01; -3.00000e+00; 0.00000e+00],79 [5.00500e+01; -5.00000e+00; 0.00000e+00],80 [5.00500e+01; -7.00000e+00; 0.00000e+00],81 [5.10000e+01; 0.00000e+00; 1.00000e+00],82 [5.10000e+01; 0.00000e+00; 3.00000e+00],83 [5.10000e+01; 0.00000e+00; 5.00000e+00],84 [5.10000e+01; 0.00000e+00; 7.00000e+00],85 [5.10000e+01; 0.00000e+00; -1.00000e+00],86 [5.10000e+01; 0.00000e+00; -3.00000e+00],87 [5.10000e+01; 0.00000e+00; -5.00000e+00],88 [5.10000e+01; 0.00000e+00; -7.00000e+00],89 [5.10000e+01; 1.00000e+00; 0.00000e+00],90 [5.10000e+01; 3.00000e+00; 0.00000e+00],91 [5.10000e+01; 5.00000e+00; 0.00000e+00],92 [5.10000e+01; 7.00000e+00; 0.00000e+00],93 [5.10000e+01; -1.00000e+00; 0.00000e+00],94 [5.10000e+01; -3.00000e+00; 0.00000e+00],95 [5.10000e+01; -5.00000e+00; 0.00000e+00],96 [5.10000e+01; -7.00000e+00; 0.00000e+00]
 1.0000000e-01,  3.1087414e-02, -1.8061050e-02, -9.6749457e-03, -8.7608165e-02, -2.6716119e-02,  5.2191563e-02,  3.4922196e-02,  2.7530890e-02,  5.0170502e-02,  4.2263781e-02,  8.2091742e-03,  8.2470920e-03, -3.2394714e-02, -3.1024150e-02, -3.8436320e-02, -1.0638288e-02, -3.4452057e-02,  2.0989360e-02, -1.5809055e-02, -3.9788851e-02,  1.3477205e-03, -3.9484773e-03, -1.0176597e-03, -8.5324920e-03,  1.4047062e-02,  5.6795863e-03,  5.7981243e-02, -3.3812261e-02, -1.0691364e-02,  3.2987401e-02, -4.7160666e-02, -1.8829233e-02, -3.8554809e-02,  3.2778802e-02, -1.5583429e-03,  1.8012559e-02, -1.1487325e-02, -1.8989235e-02, -5.9941949e-02,  6.9902332e-03,  6.8605900e-02, -1.6432132e-02, -7.7452635e-03, -9.8906970e-03,  5.9105638e-02, -1.2139765e-02, -2.6550326e-02, -4.0557952e-03, -3.7567586e-03, -1.6967387e-02,  3.0979127e-03, -9.4995041e-04, -1.5486707e-02, -4.4941860e-02, -2.7719806e-02, -2.5906116e-02, -4.4580285e-03, -1.0708736e-02, -9.6589158e-03, -5.8306135e-02,  3.9785595e-03,  4.3311904e-02, -5.0230833e-03, -2.1864655e-02,  3.3575928e-03,  5.2222709e-02, -3.7851620e-02,  1.1623939e-02, -3.3117159e-03, -1.7236664e-02,  3.3676317e-02, -4.9717124e-03,  3.4326601e-03, -3.2591000e-02,  3.6894568e-02,  1.3577422e-02,  1.3147077e-02,  6.1212995e-02,  6.4315238e-03, -6.4357689e-03, -3.4286566e-03, -2.1998306e-02, -5.1225597e-02,  8.4228807e-02,  3.3429614e-02, -3.0004241e-02,  6.1051138e-02, -4.9717124e-03, -2.2110085e-03, -1.7759526e-02, -1.4418834e-02,  2.9545171e-02,  5.4387384e-02,  2.5565100e-04, -1.1937812e-02,  4.3663488e-03
 2.0000000e-01,  4.6426855e+00,  3.7335822e+00,  1.7628821e+00, -6.8985138e-01,  1.8280573e+00,  2.3773881e+00,  2.4909913e+00,  3.1883277e+00, -2.1826440e+00,  6.3221921e+00, -3.8588028e-01, -1.0580078e+01, -8.3642056e+00,  2.0483985e+00, -1.5049198e+00, -2.6652243e+00,  2.7786222e+00,  2.8282111e+00, -4.7508348e+00,  3.5387396e+00,  1.0668341e+01, -4.7690439e+00, -1.3849142e-01,  8.5494935e+00,  2.0483968e-02,  2.2724399e-02,  1.1562713e-02,  1.4408095e-02, -1.3464641e-03,  9.9162908e-03,  1.6456835e-02,  3.3922647e-02,  3.2028832e-02,  1.1494731e-02,  1.1850268e-02,  5.5222052e-03,  2.4835641e-03,  2.0576600e-03, -3.1000991e-02,  5.0000457e-03,  1.3350767e-03, -9.5263962e-03, -6.5981001e-04, -5.5147162e-03,  1.7388923e-02,  2.3980114e-03, -9.3963997e-04, -1.3870720e-02, -3.6464164e+00,  1.4678992e+00, -2.3588250e+00, -4.1686319e+00,  1.1383299e+01,  9.6204289e+00, -1.3644613e+01,  3.6757621e+00,  1.2461699e+01,  1.8430110e+01, -2.0482266e+00,  5.7772381e+00, -4.7796987e+00,  5.2086067e-01, -5.7893663e+00, -1.1389189e+00,  2.5284874e+00,  1.0073227e-01,  3.7795066e+00,  2.8048037e+00, -5.9408120e+00,  5.1939881e-01,  1.5542269e+00, -1.0101026e-01, -3.0918135e+00, -6.4435065e+00,  1.4509304e+00,  1.3246778e+00,  3.6985044e+00,  5.2690434e-01,  6.4980479e+00, -2.6633242e+00,  3.0327214e-01, -3.5822185e-01,  3.3309885e-01,  4.5044143e-01, -6.9085610e-01,  8.9437209e-03, -5.1420514e-01, -1.0101026e-01, -4.2379334e-01,  6.2211462e-02,  7.6633078e-01,  4.5575468e-01, -6.4652162e-01, -1.9170830e-01,  1.2843859e-02, -5.8057299e-01
 3.0000000e-01,  5.1727196e+00,  1.6975813e+00,  3.7620028e+00, -1.7709742e+00,  1.1767640e+00, -1.2911355e+00,  4.6092545e+00,  8.8761028e-01,  4.2251045e-01,  7.5182875e+00,  4.4396935e-01, -1.5605627e+01, -5.2513143e+00,  3.9083217e+00, -1.0887563e+00, -1.9785758e+00,  7.2151808e+00,  5.1694804e+00, -6.5955536e+00,  2.6403498e+00,  5.6466465e+00, -1.1668253e+00, -5.7797668e-01,  3.9942365e+00,  4.3809459e-02,  4.1919018e-02,  1.8247907e-02,  3.4162166e-02,  1.1777862e-02,  1.5359541e-02,  4.2561696e-02,  5.9954582e-02,  6.8404438e-02,  2.2136029e-02,  1.8913254e-02,  1.3435867e-02,  1.2166177e-03,  7.5409776e-05, -2.1777834e-02,  3.9712934e-03,  1.5421148e-03, -6.6322514e-03,  1.0596596e-03, -6.7365203e-04,  1.2888899e-02,  1.0774358e-03,  7.9691026e-05, -1.0653846e-02, -4.2242636e+00,  9.6641026e-01, -6.0214877e+00, -8.6732127e+00,  1.3897073e+01,  7.1854725e+00, -1.4644197e+01,  3.5394769e+00,  1.3411656e+01,  1.6147258e+01, -1.2443262e-01,  2.6310380e+00, -4.3443888e+00, -1.1657419e-01, -7.5805314e+00, -1.6789963e+00, -1.9941685e-02,  1.0168659e+00,  8.9025264e-01,  4.4924441e+00, -4.7410420e-01,  3.8804656e-01, -6.9545183e-01,  1.4629674e-01, -1.8886316e+00, -4.5771704e+00,  3.5127441e+00,  2.4195826e+00,  3.0122169e+00,  2.2861709e+00,  6.1053460e+00, -4.1969803e+00,  8.7775566e-01, -6.1218127e-01,  7.3933970e-01,  8.8486241e-01, -8.1983424e-01,  9.1988484e-02, -1.0869038e+00,  1.4629674e-01, -1.0810205e+00,  1.1257030e-01,  1.0237252e+00,  1.3392136e+00, -8.2487149e-01, -7.3391404e-01,  4.9335122e-01, -8.7814076e-01
 4.0000000e-01,  5.0268549e+00,  6.0893315e-01,  4.0476485e+00, -1.7950479e+00,  1.8562458e+00, -3.5148263e+00,  5.6293161e+00,  8.3271018e-01,  1.5865712e+00,  6.1290834e+00,  2.7294715e-01, -1.1755990e+01, -1.3574136e+00,  6.4602369e+00,  8.7488842e-01, -3.7262209e-02,  7.6243845e+00,  3.6740530e+00, -8.8317775e+00,  3.5344210e+00,  3.2453947e+00,  2.3802506e+00,  1.2766082e+00, -2.7426406e+00,  6.6633090e-02,  6.5548934e-02,  2.5374714e-02,  3.9561301e-02,  1.9092663e-02,  1.7418830e-02,  5.7496290e-02,  7.5942103e-02,  8.5386434e-02,  3.3381565e-02,  3.0071848e-02,  2.7076416e-02,  6.6517834e-04, -1.4036498e-03, -1.1659754e-02,  2.4862116e-03,  2.4276004e-03, -6.6085631e-03,  8.2034169e-04,  9.5719223e-05,  6.7083821e-03,  3.6459819e-04,  9.3573634e-05, -6.7151567e-03, -4.8122900e+00, -2.6577592e-01, -7.2786847e+00, -1.0686252e+01,  1.6492582e+01,  4.1604157e+00, -1.4132720e+01,  4.4826517e+00,  1.3487872e+01,  1.3263368e+01,  2.2954281e-01,  1.2201702e+00, -1.1884145e+00,  1.2180121e+00, -7.8672826e+00, -3.0976180e+00, -1.3272497e+00,  1.2250617e+00, -1.7368380e+00,  3.9213965e+00,  5.4249234e+00,  2.0340856e-01, -2.4563719e+00,  4.0552914e-01,  8.8072115e-01, -3.3973450e+00,  4.7788429e+00,  2.9988563e+00,  2.5560193e+00,  3.0999022e+00,  4.4273218e+00, -5.3575449e+00,  8.6122272e-02, -6.7251290e-01,  6.3056919e-01,  2.0297375e+00, -6.9108041e-01,  1.8015984e-01, -1.9169758e+00,  4.0552914e-01, -2.1478408e+00,  3.4249017e-01,  1.3535660e+00,  1.5237617e+00, -2.2041366e-01, -1.5221764e+00,  1.0289879e+00, -1.3249325e+00
 5.0000000e-01,  5.9375114e+00, -5.4677175e-01,  3.7625441e+00, -1.0155246e+00,  4.0286544e+00, -4.0274942e+00,  6.4073548e+00,  1.9830167e+00,  1.6085704e+00,  5.8104619e+00, -7.2323729e-01, -6.4269985e+00,  1.0899192e+00,  8.4407740e+00,  4.7485619e+00,  6.9503727e-01,  9.3200498e+00,  2.8540820e+00, -1.1065526e+01,  3.9786904e+00,  1.9849783e+00,  4.5066674e+00,  1.9169155e+00, -3.3723802e+00,  9.3590183e-02,  9.2681524e-02,  3.3276788e-02,  4.9845370e-02,  2.9527075e-02,  2.0660256e-02,  7.5952885e-02,  9.6821496e-02,  1.0787657e-01,  4.7652038e-02,  4.7837289e-02,  4.4665878e-02,  1.4970214e-04, -2.0621188e-03, -5.4670589e-03,  1.9408837e-03,  2.9519539e-03, -4.0288878e-03,  5.4593561e-04,  6.6622720e-04,  3.7516494e-03,  3.2512086e-04,  5.4964130e-04, -2.4941294e-03, -4.8572152e+00, -1.0599621e+00, -8.0659233e+00, -1.3163585e+01,  1.5899068e+01,  5.0161768e+00, -9.6025776e+00,  6.3229279e+00,  1.2031107e+01,  1.2427532e+01, -1.4445372e+00,  1.0513957e+00,  1.1624155e+00,  2.7122751e+00, -8.3105967e+00, -2.2891715e+00, -2.0267023e+00,  6.2221688e-01, -2.6870583e+00,  4.2234911e+00,  4.0321684e+00,  7.8139487e-01, -1.9425085e+00,  6.8467872e-01,  2.0319880e+00, -4.7465993e+00,  4.9869536e+00,  3.2504040e+00,  2.5811127e+00,  4.4251713e+00,  5.2383599e+00, -5.2584186e+00, -1.0714028e+00, -7.8174545e-01,  4.7553519e-02,  3.2194983e+00, -5.8773499e-01,  9.9748244e-01, -2.1581099e+00,  6.8467872e-01, -3.0796122e+00,  5.8582373e-01,  1.4419080e+00,  1.7394978e+00,  7.9607252e-01, -2.0730622e+00,  1.4890227e+00, -1.7413801e+00
 6.0000000e-01,  7.4822710e+00, -1.1886896e+00,  3.2534126e+00, -2.7417552e-01,  4.0993067e+00, -4.3792666e+00,  6.2486701e+00,  2.6868910e+00,  2.0946763e+00,  4.9350642e+00, -1.8763017e+00, -3.1006837e+00,  1.3714439e+00,  9.4964941e+00,  6.7805723e+00,  1.0705941e+00,  1.1711136e+01,  3.5493209e+00, -1.2584506e+01,  3.9424775e+00,  1.6284450e+00,  5.3863070e+00,  8.0667575e-01,  1.0095544e+00,  1.2778204e-01,  1.2785926e-01,  4.0800009e-02,  5.8632416e-02,  4.1432179e-02,  2.8526841e-02,  9.8033653e-02,  1.1927111e-01,  1.3377985e-01,  6.1837081e-02,  6.8221868e-02,  6.1171558e-02, -3.2561528e-04, -2.4534349e-03, -3.9040990e-03,  1.7460609e-03,  3.8298936e-03,  1.0774569e-03,  2.5321165e-04,  9.1683010e-04,  2.7980269e-03,  5.6944595e-04,  9.1376442e-04, -1.3977779e-04, -5.5372047e+00, -1.2641524e+00, -8.1197610e+00, -1.5792824e+01,  1.5358427e+01,  6.0906515e+00, -6.5749036e+00,  8.5100430e+00,  1.0733888e+01,  1.3207666e+01, -4.6328462e+00,  1.8363695e+00,  2.6458878e+00,  2.7721983e+00, -6.3999830e+00, -1.2732121e+00, -2.8726374e+00, -5.6906547e-01, -2.8894103e+00,  5.6134817e+00,  6.1497120e-01, -2.1663170e-01, -1.6549807e+00,  1.4726591e+00,  1.6093767e+00, -5.3745624e+00,  4.3813437e+00,  4.0127189e+00,  2.2703328e+00,  5.8880910e+00,  6.0966238e+00, -5.8937237e+00, -1.7870622e+00, -1.4438722e+00, -4.2984863e-01,  4.0263516e+00, -3.8387580e-01,  1.9706831e+00, -1.8903973e+00,  1.4726591e+00, -3.9074107e+00,  2.8654948e-01,  1.3023769e+00,  2.2947214e+00,  1.7441540e+00, -2.1442991e+00,  1.7468176e+00, -1.6956933e+00
 7.0000000e-01,  8.8929881e+00, -1.8185900e+00,  3.2534336e+00, -4.5641443e-03,  4.6473326e+00, -4.3189928e+00,  6.0267325e+00,  4.2789249e+00,  2.1183643e+00,  4.5268053e+00, -2.3319307e+00, -4.1797118e-01,  1.2438901e+00,  9.9418029e+00,  7.3801560e+00, -1.6591410e-01,  1.4519472e+01,  4.5041719e+00, -1.3134904e+01,  3.2624321e+00,  2.2178620e+00,  5.2696039e+00,  6.9563674e-01,  5.9866206e+00,  1.6578780e-01,  1.7147797e-01,  3.8589545e-02,  6.1271331e-02,  5.2848670e-02,  4.4148056e-02,  1.1599859e-01,  1.4300686e-01,  1.6172399e-01,  7.1742582e-02,  9.1238874e-02,  7.8618562e-02, -6.7964886e-04, -2.7680794e-03, -2.3455272e-03,  2.1608476e-03,  4.8812629e-03,  3.7289888e-03,  2.6979535e-04,  1.1035389e-03,  2.7020250e-03,  9.0970867e-04,  1.2455709e-03,  5.0726003e-04, -6.5445959e+00, -2.6400444e+00, -7.6090076e+00, -1.7197850e+01,  1.4546373e+01,  7.9257442e+00, -4.9828231e+00,  1.0902277e+01,  6.9665579e+00,  1.4854684e+01, -7.9965388e+00,  3.6368802e+00,  3.6087781e+00,  3.1151461e+00, -6.8798505e+00, -2.0113556e+00, -3.8631438e+00, -1.5167387e+00, -3.4908922e+00,  7.2546076e+00, -1.3009809e+00,  2.8818916e-01, -1.5350842e+00,  2.0108948e+00,  1.4372572e+00, -5.4325685e+00,  4.0721727e+00,  4.9687559e+00,  1.2522103e+00,  6.9575410e+00,  7.1388118e+00, -6.1670696e+00, -2.2234557e+00, -2.1881630e+00, -8.2622260e-01,  4.0816781e+00, -3.7057097e-01,  3.1119993e+00, -1.6659695e+00,  2.0108948e+00, -4.1164674e+00, -1.6397323e-01,  6.5462934e-01,  2.8598118e+00,  2.4495240e+00, -2.0924945e+00,  1.9318028e+00, -1.6655427e+00
 8.0000000e-01,  1.0081725e+01, -2.1646221e+00,  2.6304235e+00, -4.8905137e-01,  3.5069683e+00, -5.0783177e+00,  6.9330606e+00,  7.8661404e+00,  3.1683558e+00,  3.4503444e+00, -2.4722595e+00,  9.4740451e-01,  9.5609489e-01,  1.0991719e+01,  7.1827130e+00,  5.4997564e-01,  1.7001758e+01,  3.1920095e+00, -1.3180391e+01,  2.8391336e+00,  6.5438330e+00,  5.5129504e+00, -3.0421670e-01,  9.6722731e+00,  2.0640435e-01,  2.2694254e-01,  2.1928799e-02,  5.6017254e-02,  6.5880619e-02,  6.4688043e-02,  1.2888195e-01,  1.6818541e-01,  1.9221402e-01,  7.6864417e-02,  1.1258365e-01,  8.8856448e-02, -9.5136117e-04, -3.1954097e-03, -4.6139637e-03,  2.8013034e-03,  5.8450330e-03,  4.7327720e-03,  4.3802036e-04,  1.3675541e-03,  2.2213299e-03,  1.2630433e-03,  1.6214751e-03,  2.6311942e-03, -7.7741478e+00, -3.3587941e+00, -7.8494803e+00, -1.9525181e+01,  1.4279971e+01,  9.6324539e+00, -4.9039164e+00,  1.3236976e+01,  8.2593350e+00,  1.6265522e+01, -1.0233287e+01,  5.0449074e+00,  4.8552173e+00,  2.6725013e+00, -5.3363433e+00, -8.9613755e-01, -4.4581521e+00, -2.0154953e+00, -3.7613415e+00,  5.7787887e+00, -1.2515932e+00,  1.1733700e+00, -1.1518346e+00,  2.7941607e+00,  7.3368301e-01, -5.8185622e+00,  3.7221948e+00,  6.1472122e+00,  7.8343501e-01,  7.8929983e+00,  7.5629864e+00, -6.6014083e+00, -2.2764214e+00, -2.5349221e+00, -1.1949168e+00,  2.1062350e+00,  3.7856363e-02,  4.5214371e+00, -1.3922936e+00,  2.7941607e+00, -3.6724997e+00, -6.0904646e-01,  7.6620205e-02,  3.4761128e+00,  2.8495350e+00, -1.8064358e+00,  2.1251353e+00, -1.4965847e+00
 9.0000000e-01,  9.9882656e+00, -6.2839927e+00, -1.6875296e+00,  2.0041917e+00,  4.0887397e+00, -5.2105233e+00,  1.3669097e+01,  2.0533084e+01,  1.0452994e+01,  3.1637793e+00, -3.3933367e+00,  2.1850901e+00,  1.3737325e+00,  1.3190613e+01,  5.5349221e+00,  2.9798499e+00,  2.1272880e+01,  5.1512586e+00, -1.2554398e+01,  1.4410659e+00,  7.5045458e+00,  5.8015364e+00, -7.0617003e-01,  1.2170621e+01,  2.4828484e-01,  2.9806366e-01, -2.1934601e-02,  3.6912938e-02,  7.8802363e-02,  8.9075813e-02,  1.3204057e-01,  1.9604786e-01,  2.3040691e-01,  6.9277498e-02,  1.3133102e-01,  8.8031538e-02, -1.3128168e-03, -3.8743355e-03, -6.6471676e-03,  3.4355689e-03,  6.7197084e-03,  3.8995859e-03,  5.3257937e-04,  1.3294537e-03,  2.6401927e-03,  1.5875969e-03,  1.8932963e-03,  2.9924590e-03, -8.4385341e+00, -2.1397561e+00, -8.2057568e+00, -2.1113077e+01,  1.4716371e+01,  1.0074502e+01, -2.7265756e+00,  1.4978964e+01,  7.8787697e+00,  1.5915144e+01, -1.1653227e+01,  5.0519446e+00,  5.9391289e+00,  1.0494903e+00, -4.2910069e+00, -1.3243320e+00, -5.1289929e+00, -2.7162467e+00, -4.7563680e+00,  4.4523382e+00, -2.6834647e-01,  2.9846596e+00, -3.3161440e-01,  3.5678059e+00,  1.1016822e+00, -4.8621917e+00,  3.1148024e+00,  7.0673567e+00, -7.3648557e-01,  8.7803943e+00,  7.1983437e+00, -7.3169361e+00, -2.5528893e+00, -3.0648989e+00, -1.5185488e+00,  7.3299925e-01,  5.6966259e-01,  5.6264525e+00, -8.2715413e-01,  3.5678059e+00, -3.4907847e+00, -1.1523088e+00, -6.1995101e-01,  3.7316591e+00,  3.1973672e+00, -1.5378533e+00,  2.3802952e+00, -1.6396674e+00
 1.0000000e+00,  5.6505072e-01, -1.4899460e+01, -1.3385467e+01,  9.9306514e+00,  1.3928248e+01, -1.0867443e+00,  4.2238003e+01,  4.8531177e+01,  3.5334109e+01,  1.9676144e+00, -6.8418533e+00,  4.7857136e+00,  2.1934433e+00,  1.4927233e+01,  4.5510275e+00,  6.9226162e+00,  3.2395017e+01,  7.5324285e+00, -1.1764009e+01,  3.6197466e-01,  1.0527526e+01,  6.7863926e+00, -8.9219424e-01,  1.5473637e+01,  2.9188087e-01,  3.9603518e-01, -9.6456875e-02,  1.2030255e-02,  9.5179993e-02,  1.2893823e-01,  1.2687397e-01,  2.2960897e-01,  2.7958837e-01,  4.8751727e-02,  1.5217708e-01,  7.3755385e-02, -1.5033386e-03, -4.1299767e-03, -7.9945454e-03,  4.1161661e-03,  7.6496416e-03,  4.9661713e-04,  7.2640447e-04,  1.4310553e-03,  2.3451064e-03,  1.9640611e-03,  2.0341000e-03,  1.4626739e-03, -9.1858929e+00, -3.2697931e+00, -9.0608201e+00, -2.5449102e+01,  1.5195643e+01,  9.9291715e+00, -3.5692519e+00,  1.6068339e+01,  7.1432349e+00,  1.6312648e+01, -1.2752084e+01,  2.0205978e+00,  4.6148414e+00, -1.1909923e+00, -3.6594381e+00, -7.4793117e-01, -5.4537291e+00, -3.4810213e+00, -5.7881212e+00, -7.0610106e-01,  1.9991126e+00,  4.2033892e+00,  1.7682349e-01,  4.4070702e+00,  1.4019295e+00, -5.1881628e+00,  1.9901647e+00,  6.3285918e+00, -1.4389558e+00,  6.7266818e+00,  7.5906716e+00, -7.6617555e+00, -2.9157098e+00, -3.9187735e+00, -2.0266902e+00, -7.7306485e-01,  9.9796493e-01,  6.0303681e+00,  4.1607737e-02,  4.4070702e+00, -3.3683064e+00, -1.4430790e+00, -1.3993822e+00,  3.4351546e+00,  3.5244116e+00, -1.3288371e+00,  2.6203027e+00, -1.7767407e+00
